Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
3032	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	6	0	3	1	2	0	1	0	0	2
1064	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	7	0	4	2	2	0	0	1	1	2
2522	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	3	0	1	0	2	0	0	1	0	3
3531	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	7	0	1	0	2	1	0	0	1	3
3581	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	2	0	5	0	2	1	0	0	0	4
3011	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	3	0	1	0	1	0	0	1	0	2
3025	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	3	0	1	0	1	0	1	0	0	2
3555	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	3	1	2	0	2	0	1	0	0	3
1015	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	1	0	2	1	0	0	0	1
3039	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	5	0	2	0	2	0	1	0	0	0
2561	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	4	0	4	0	2	0	0	1	0	0
3067	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	3	1	3	0	3	0	1	0	0	3
3515	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	2	0	2	0	1	1	0	0	0	1
2548	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	3	1	3	0	0	1	0	2
1064	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	4	1	2	0	2	0	1	0	0	1
2523	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	2	0	4	2	2	0	0	1	0	0
3028	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	4	0	2	0	2	1	0	0	0	2
1067	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1
1069	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	4	0	1	0	1	0	1	0	0	1
3081	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	2	0	2	0	1	0	1	3
3073	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	1	3	0	1	1	0	0	0	3
1013	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	3	1	3	0	1	1	0	0	0	1
1064	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	3	0	1	0	2	1	0	0	0	2
3071	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	6	0	1	0	2	1	0	0	0	1
3082	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	7	0	2	0	2	0	0	1	0	2
2564	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	2	0	2	0	1	0	0	0
